drug1,drug2,label
acetazolamide,acarbose,1
acetazolamide,acenocoumarol,1
albendazole,acenocoumarol,1
albendazole,acetazolamide,1
allopurinol,acarbose,1
allopurinol,acenocoumarol,1
allopurinol,acetazolamide,1
alprazolam,acarbose,1
alprazolam,acetazolamide,1
alprazolam,allopurinol,1
alprostadil,acetazolamide,1
amikacin,acarbose,1
amikacin,acenocoumarol,1
amikacin,allopurinol,1
amikacin,alprazolam,1
aminophylline,acenocoumarol,1
aminophylline,acetazolamide,1
aminophylline,albendazole,1
aminophylline,allopurinol,1
aminophylline,alprazolam,1
amisulpride,acenocoumarol,1
amisulpride,acetazolamide,1
amisulpride,alprazolam,1
amitriptyline,acarbose,1
amitriptyline,acenocoumarol,1
amitriptyline,acetazolamide,1
amitriptyline,albendazole,1
amitriptyline,allopurinol,1
amitriptyline,alprazolam,1
amitriptyline,amikacin,1
amitriptyline,aminophylline,1
amitriptyline,amisulpride,1
amlodipine,acarbose,1
amlodipine,amifostine,1
amlodipine,amitriptyline,1
amodiaquine,acenocoumarol,1
amodiaquine,amisulpride,1
amodiaquine,amitriptyline,1
amoxapine,acarbose,1
amoxapine,acenocoumarol,1
amoxapine,acetazolamide,1
amoxapine,alprazolam,1
amoxapine,amisulpride,1
amoxapine,amitriptyline,1
amoxapine,amlodipine,1
amoxapine,amodiaquine,1
amoxicillin,acarbose,1
amoxicillin,acenocoumarol,1
amoxicillin,acetazolamide,1
amoxicillin,allopurinol,1
amoxicillin,alprazolam,1
amoxicillin,alprostadil,1
amoxicillin,amikacin,1
amoxicillin,amitriptyline,1
amsacrine,acenocoumarol,1
amsacrine,allopurinol,1
apomorphine,acenocoumarol,1
apomorphine,acetazolamide,1
apomorphine,alprazolam,1
apomorphine,amifostine,1
apomorphine,amisulpride,1
apomorphine,amitriptyline,1
apomorphine,amlodipine,1
apomorphine,amodiaquine,1
apomorphine,amoxapine,1
aprepitant,acenocoumarol,1
aprepitant,albendazole,1
aprepitant,alprazolam,1
aprepitant,aminophylline,1
aprepitant,amitriptyline,1
aprepitant,apomorphine,1
aripiprazole,acarbose,1
aripiprazole,acenocoumarol,1
aripiprazole,acetazolamide,1
aripiprazole,alprazolam,1
aripiprazole,amifostine,1
aripiprazole,amisulpride,1
aripiprazole,amitriptyline,1
aripiprazole,amlodipine,1
aripiprazole,amodiaquine,1
aripiprazole,amoxapine,1
aripiprazole,apomorphine,1
aripiprazole,aprepitant,1
artemether,acenocoumarol,1
artemether,albendazole,1
artemether,alprazolam,1
artemether,amisulpride,1
artemether,amitriptyline,1
artemether,amodiaquine,1
artemether,amoxapine,1
artemether,apomorphine,1
artemether,aprepitant,1
artemether,aripiprazole,1
artesunate,artemether,1
asenapine,acarbose,1
